File Name,Circuit Status,Time Overall,Memory Usage
64_64_S_SP_AR_BK_GenMul_dc2,buggy,2.57015,32616
64_64_S_SP_AR_KS_GenMul_dc2,buggy,2.95064,32724
64_64_S_SP_DT_SE_GenMul_dc2,buggy,3.08406,32292
64_64_U1_DT_RC_Multgen_dc2,correct,3.1455,32300
64_64_U_SP_AR_BK_GenMul_dc2,correct,3.14859,32700
64_64_U_SP_DT_SE_GenMul_dc2,correct,3.20921,32228
64_64_S_SP_DT_RC_GenMul_dc2,buggy,3.23502,32240
64_64_S_SP_AR_RC_GenMul_dc2,buggy,3.45992,32764
64_64_U_SP_AR_SE_GenMul_dc2,correct,3.51937,32804
64_64_S_SP_AR_CL_GenMul_dc2,buggy,3.66337,32756
64_64_U_SP_AR_RC_GenMul_dc2,correct,3.73637,32736
64_64_S_SP_AR_SE_GenMul_dc2,buggy,3.77616,32756
64_64_U_SP_AR_LF_GenMul_dc2,correct,3.81971,32636
64_64_S_SP_AR_LF_GenMul_dc2,buggy,3.96747,32628
64_64_U_SP_DT_RC_GenMul_dc2,correct,4.07651,32204
64_64_U_SP_WT_SE_GenMul_dc2,correct,4.14927,33420
64_64_S1_DT_RC_Multgen_dc2,buggy,4.38766,32396
64_64_S_SP_WT_RC_GenMul_dc2,buggy,4.58132,33672
64_64_U_SP_DT_BK_GenMul_dc2,correct,4.64216,32612
64_64_S_SP_DT_BK_GenMul_dc2,buggy,5.0193,32560
64_64_S1_WT_RC_Multgen_dc2,buggy,5.19804,33380
64_64_S_SP_WT_SE_GenMul_dc2,buggy,5.26878,33632
64_64_U_SP_WT_RC_GenMul_dc2,correct,5.33869,33556
64_64_U1_DT_BK_Multgen_dc2,correct,5.56673,32288
64_64_U_SP_WT_BK_GenMul_dc2,correct,6.28666,33732
64_64_S1_DT_BK_Multgen_dc2,buggy,6.69436,32404
64_64_U1_WT_RC_Multgen_dc2,correct,7.88659,33420
64_64_U2_DT_RC_Multgen_dc2,buggy,11.0516,38220
64_64_U_SP_AR_CK_GenMul_dc2,correct,11.3328,90276
64_64_U1_WT_BK_Multgen_dc2,correct,11.5542,98356
64_64_S1_WT_BK_Multgen_dc2,buggy,14.6474,36420
64_64_U1_4to2_BK_Multgen_dc2,correct,16.1976,30492
64_64_U2_DT_BK_Multgen_dc2,buggy,16.2278,38076
64_64_U2_4to2_BK_Multgen_dc2,correct,16.7053,37416
64_64_S2_DT_RC_Multgen_dc2,buggy,17.4052,37204
64_64_S_SP_WT_BK_GenMul_dc2,buggy,17.5687,205160
64_64_S2_DT_BK_Multgen_dc2,buggy,19.878,37328
64_64_S1_4to2_BK_Multgen_dc2,buggy,19.953,30668
64_64_U2_WT_RC_Multgen_dc2,buggy,21.1369,39504
64_64_S2_WT_RC_Multgen_dc2,buggy,23.4802,38344
64_64_U_SP_CWT_SE_GenMul_dc2,correct,25.8334,35456
64_64_S2_DT_JCA_Multgen_dc2,buggy,25.9854,54380
64_64_U2_WT_BK_Multgen_dc2,buggy,27.3429,39244
64_64_U2_DT_JCA_Multgen_dc2,buggy,27.47,43812
64_64_U1_DT_LF_Multgen_dc2,correct,27.8184,37004
64_64_S2_DT_LF_Multgen_dc2,buggy,28.4629,54520
64_64_S2_4to2_BK_Multgen_dc2,buggy,29.0107,36976
64_64_S2_WT_BK_Multgen_dc2,buggy,29.424,55692
64_64_S_SP_CWT_SE_GenMul_dc2,buggy,29.7856,37700
64_64_U1_DT_JCA_Multgen_dc2,correct,30.3555,36992
64_64_U2_DT_LF_Multgen_dc2,buggy,32.1306,43796
64_64_U_SP_DT_LF_GenMul_dc2,correct,32.1397,37356
64_64_S2_4to2_LF_Multgen_dc2,buggy,45.5502,79368
64_64_U1_WT_LF_Multgen_dc2,correct,46.68,42980
64_64_U_SP_CWT_BK_GenMul_dc2,correct,48.0029,39232
64_64_S2_4to2_JCA_Multgen_dc2,buggy,51.5308,79424
64_64_U1_WT_JCA_Multgen_dc2,correct,52.6944,42988
64_64_U_SP_CWT_RC_GenMul_dc2,correct,53.0656,37916
64_64_S_SP_CWT_BK_GenMul_dc2,buggy,75.7065,41780
64_64_S_SP_DT_LF_GenMul_dc2,buggy,94.8951,40772
64_64_S1_DT_JCA_Multgen_dc2,buggy,97.3139,77832
64_64_S1_DT_LF_Multgen_dc2,buggy,101.613,77892
64_64_U2_WT_JCA_Multgen_dc2,buggy,110.745,80316
64_64_U2_WT_LF_Multgen_dc2,buggy,119.326,80364
64_64_S2_DT_HCA_Multgen_dc2,buggy,140.668,80452
64_64_S1_DT_HCA_Multgen_dc2,buggy,206.642,170072
64_64_U_SP_CWT_LF_GenMul_dc2,correct,245.24,114252
64_64_S_SP_CWT_LF_GenMul_dc2,buggy,310.012,176300
64_64_U2_DT_HCA_Multgen_dc2,buggy,743.872,687948
64_64_S_SP_WT_CK_GenMul_dc2,buggy,1224.27,5129320
64_64_U_SP_DT_CK_GenMul_dc2,correct,1875.57,6206760
64_64_S_SP_DT_CK_GenMul_dc2,buggy,2079.82,6708048
64_64_S_SP_CWT_RC_GenMul_dc2,buggy,2247.86,99660
64_64_U_SP_CWT_CK_GenMul_dc2,AIG FILE MISSING,,MO
64_64_U_SP_DT_CL_GenMul_dc2,AIG FILE MISSING,,MO
64_64_S_SP_CWT_CK_GenMul_dc2,AIG FILE MISSING,,MO
64_64_S_SP_DT_CL_GenMul_dc2,AIG FILE MISSING,,MO
64_64_S_SP_WT_CL_GenMul_dc2,AIG FILE MISSING,,MO
64_64_U_SP_WT_CL_GenMul_dc2,AIG FILE MISSING,,MO
64_64_S1_4to2_RC_Multgen_dc2,AIG FILE MISSING,,MO
64_64_U1_4to2_RC_Multgen_dc2,AIG FILE MISSING,,MO
64_64_S1_WT_KS_Multgen_dc2,AIG FILE MISSING,,MO
64_64_S2_4to2_RC_Multgen_dc2,AIG FILE MISSING,,MO
64_64_U_SP_WT_CK_GenMul_dc2,AIG FILE MISSING,,MO
64_64_S2_WT_HCA_Multgen_dc2,AIG FILE MISSING,,MO
64_64_U1_WT_HCA_Multgen_dc2,AIG FILE MISSING,,MO
64_64_U_SP_WT_LF_GenMul_dc2,AIG FILE MISSING,,MO
64_64_U_SP_AR_CL_GenMul_dc2,AIG FILE MISSING,,MO
64_64_U1_4to2_HCA_Multgen_dc2,AIG FILE MISSING,,MO
64_64_S1_WT_JCA_Multgen_dc2,AIG FILE MISSING,,MO
64_64_S1_WT_LF_Multgen_dc2,AIG FILE MISSING,,MO
