base_name,runtime_seconds
128_128_U_SP_CWT_RC_GenMul_mfs,.035393394
128_128_U_SP_CWT_SE_GenMul_mfs,.035553974
128_128_U_SP_DT_BK_GenMul_mfs,.034628383
128_128_U_SP_DT_CK_GenMul_mfs,.036053114
128_128_U_SP_DT_CL_GenMul_mfs,.035326984
128_128_U_SP_DT_KS_GenMul_mfs,.036520227
128_128_U_SP_DT_LF_GenMul_mfs,.035841083
128_128_U_SP_DT_RC_GenMul_mfs,.034952602
128_128_U_SP_DT_SE_GenMul_mfs,.035510271
128_128_U_SP_WT_BK_GenMul_mfs,.036465200
128_128_U_SP_WT_CK_GenMul_mfs,.035010243
128_128_U_SP_WT_CL_GenMul_mfs,.035134241
128_128_U_SP_WT_KS_GenMul_mfs,.034583192
128_128_U_SP_WT_LF_GenMul_mfs,.035303075
128_128_U_SP_WT_RC_GenMul_mfs,.038896094
128_128_U_SP_WT_SE_GenMul_mfs,.038177052
256_256_U1_4to2_BK_Multgen_mfs,.036407176
256_256_U1_4to2_HCA_Multgen_mfs,.035342696
256_256_U1_4to2_JCA_Multgen_mfs,.033922509
256_256_U1_4to2_KS_Multgen_mfs,.033958952
256_256_U1_4to2_LF_Multgen_mfs,.035686724
256_256_U1_4to2_RC_Multgen_mfs,.035113281
256_256_U1_DT_BK_Multgen_mfs,.036678345
256_256_U1_DT_HCA_Multgen_mfs,.033632260
256_256_U1_DT_JCA_Multgen_mfs,.037345718
256_256_U1_DT_KS_Multgen_mfs,.034834669
256_256_U1_DT_LF_Multgen_mfs,.034767191
256_256_U1_DT_RC_Multgen_mfs,.034618762
256_256_U1_WT_BK_Multgen_mfs,.035089833
256_256_U1_WT_HCA_Multgen_mfs,.034143204
256_256_U1_WT_JCA_Multgen_mfs,.036188933
256_256_U1_WT_KS_Multgen_mfs,.032982797
256_256_U1_WT_LF_Multgen_mfs,.035254721
256_256_U1_WT_RC_Multgen_mfs,.040148313
256_256_U2_4to2_BK_Multgen_mfs,.038343887
256_256_U2_4to2_HCA_Multgen_mfs,.034435296
256_256_U2_4to2_JCA_Multgen_mfs,.035572694
256_256_U2_4to2_KS_Multgen_mfs,.035423397
256_256_U2_4to2_LF_Multgen_mfs,.035667396
256_256_U2_4to2_RC_Multgen_mfs,.035317248
256_256_U2_DT_BK_Multgen_mfs,.035653122
256_256_U2_DT_HCA_Multgen_mfs,.035527867
256_256_U2_DT_JCA_Multgen_mfs,.035794586
256_256_U2_DT_KS_Multgen_mfs,.036302759
256_256_U2_DT_LF_Multgen_mfs,.035444079
256_256_U2_DT_RC_Multgen_mfs,.035109708
256_256_U2_WT_BK_Multgen_mfs,.033924187
256_256_U2_WT_HCA_Multgen_mfs,.036056391
256_256_U2_WT_JCA_Multgen_mfs,.039755595
256_256_U2_WT_KS_Multgen_mfs,.035768359
256_256_U2_WT_LF_Multgen_mfs,.035294920
256_256_U2_WT_RC_Multgen_mfs,.036679519
256_256_U_SP_AR_CK_GenMul_mfs,.035847731
256_256_U_SP_CWT_BK_GenMul_mfs,.035147299
256_256_U_SP_CWT_CK_GenMul_mfs,.035921385
256_256_U_SP_CWT_CL_GenMul_mfs,.035059449
256_256_U_SP_CWT_KS_GenMul_mfs,.034405301
256_256_U_SP_CWT_LF_GenMul_mfs,.035743388
256_256_U_SP_CWT_RC_GenMul_mfs,.036168819
256_256_U_SP_CWT_SE_GenMul_mfs,.037607952
256_256_U_SP_DT_BK_GenMul_mfs,.041415646
256_256_U_SP_DT_CK_GenMul_mfs,.046367818
256_256_U_SP_DT_CL_GenMul_mfs,.038804618
256_256_U_SP_DT_KS_GenMul_mfs,.055185157
256_256_U_SP_DT_LF_GenMul_mfs,.040616069
256_256_U_SP_DT_RC_GenMul_mfs,.040655995
256_256_U_SP_DT_SE_GenMul_mfs,.156056787
256_256_U_SP_WT_BK_GenMul_mfs,.047870732
256_256_U_SP_WT_CK_GenMul_mfs,.041024110
256_256_U_SP_WT_CL_GenMul_mfs,.041743571
256_256_U_SP_WT_KS_GenMul_mfs,.034755746
256_256_U_SP_WT_LF_GenMul_mfs,.035597989
256_256_U_SP_WT_RC_GenMul_mfs,.035725283
256_256_U_SP_WT_SE_GenMul_mfs,.035653157
