File Name,Time (seconds),Memory (KB),Method
64_64_U1_4to2_BK_Multgen_dc2,25.23,29272,sat-sweeping
64_64_U1_4to2_HCA_Multgen_dc2,19.15,28332,sat-sweeping
64_64_U1_4to2_JCA_Multgen_dc2,47.77,32880,sat-sweeping
64_64_U1_4to2_KS_Multgen_dc2,212.85,41784,kissat
64_64_U1_4to2_LF_Multgen_dc2,48.39,32704,sat-sweeping
64_64_U1_4to2_RC_Multgen_dc2,1.75,35320,fraig
64_64_U1_DT_BK_Multgen_dc2,13.37,27088,kissat
64_64_U1_DT_HCA_Multgen_dc2,12.23,32076,kissat
64_64_U1_DT_JCA_Multgen_dc2,14.81,55872,kissat
64_64_U1_DT_KS_Multgen_dc2,13.85,29176,kissat
64_64_U1_DT_LF_Multgen_dc2,15.99,54760,kissat
64_64_U1_DT_RC_Multgen_dc2,0.73,36528,fraig
64_64_U1_WT_BK_Multgen_dc2,11.87,29544,kissat
64_64_U1_WT_HCA_Multgen_dc2,12.94,29924,kissat
64_64_U1_WT_JCA_Multgen_dc2,12.56,32596,kissat
64_64_U1_WT_KS_Multgen_dc2,11.59,29036,kissat
64_64_U1_WT_LF_Multgen_dc2,12.20,32504,kissat
64_64_U1_WT_RC_Multgen_dc2,15.51,29568,kissat
64_64_U2_4to2_BK_Multgen_dc2,41.14,31696,sat-sweeping
64_64_U2_4to2_HCA_Multgen_dc2,28.92,45092,sat-sweeping
64_64_U2_4to2_JCA_Multgen_dc2,368.32,50120,sat-sweeping
64_64_U2_4to2_KS_Multgen_dc2,429.13,45740,sat-sweeping
64_64_U2_4to2_LF_Multgen_dc2,364.87,50336,sat-sweeping
64_64_U2_4to2_RC_Multgen_dc2,0.23,43432,fraig
64_64_U2_DT_BK_Multgen_dc2,20.54,30276,kissat
64_64_U2_DT_HCA_Multgen_dc2,12.50,45600,sat-sweeping
64_64_U2_DT_JCA_Multgen_dc2,26.01,29968,kissat
64_64_U2_DT_KS_Multgen_dc2,29.69,28884,kissat
64_64_U2_DT_LF_Multgen_dc2,26.04,29080,kissat
64_64_U2_DT_RC_Multgen_dc2,0.20,43100,fraig
64_64_U2_WT_BK_Multgen_dc2,24.58,39316,kissat
64_64_U2_WT_HCA_Multgen_dc2,33.00,39816,kissat
64_64_U2_WT_JCA_Multgen_dc2,32.14,43608,kissat
64_64_U2_WT_KS_Multgen_dc2,27.93,47704,sat-sweeping
64_64_U2_WT_LF_Multgen_dc2,33.44,38020,kissat
64_64_U2_WT_RC_Multgen_dc2,10.08,43588,sat-sweeping
64_64_U_SP_AR_BK_GenMul_dc2,0.35,36408,fraig
64_64_U_SP_AR_CK_GenMul_dc2,0.35,36516,fraig
64_64_U_SP_AR_CL_GenMul_dc2,0.32,37456,fraig
64_64_U_SP_AR_KS_GenMul_dc2,0.33,40160,fraig
64_64_U_SP_AR_LF_GenMul_dc2,0.37,37292,fraig
64_64_U_SP_AR_RC_GenMul_dc2,0.37,72864,fraig
64_64_U_SP_AR_SE_GenMul_dc2,0.31,37768,fraig
64_64_U_SP_CWT_BK_GenMul_dc2,16.07,29744,kissat
64_64_U_SP_CWT_CK_GenMul_dc2,11.60,30884,kissat
64_64_U_SP_CWT_CL_GenMul_dc2,19.12,42316,sat-sweeping
64_64_U_SP_CWT_KS_GenMul_dc2,16.49,31888,kissat
64_64_U_SP_CWT_LF_GenMul_dc2,12.40,31720,kissat
64_64_U_SP_CWT_RC_GenMul_dc2,10.87,31540,kissat
64_64_U_SP_CWT_SE_GenMul_dc2,0.17,36740,fraig
64_64_U_SP_DT_BK_GenMul_dc2,0.24,36368,fraig
64_64_U_SP_DT_CK_GenMul_dc2,0.20,38172,fraig
64_64_U_SP_DT_CL_GenMul_dc2,15.90,28956,kissat
64_64_U_SP_DT_KS_GenMul_dc2,0.38,37752,fraig
64_64_U_SP_DT_LF_GenMul_dc2,10.35,28876,kissat
64_64_U_SP_DT_RC_GenMul_dc2,0.18,37268,fraig
64_64_U_SP_DT_SE_GenMul_dc2,0.21,29276,fraig
64_64_U_SP_WT_BK_GenMul_dc2,13.67,29580,kissat
64_64_U_SP_WT_CK_GenMul_dc2,12.00,29480,kissat
64_64_U_SP_WT_CL_GenMul_dc2,16.24,30580,kissat
64_64_U_SP_WT_KS_GenMul_dc2,14.25,29324,kissat
64_64_U_SP_WT_LF_GenMul_dc2,13.89,31200,kissat
64_64_U_SP_WT_RC_GenMul_dc2,10.90,29760,kissat
64_64_U_SP_WT_SE_GenMul_dc2,0.20,38628,fraig
