File Name,Time (seconds),Memory (KB),Method
64_64_U1_4to2_BK_Multgen_dc2,3.27,69180,sat-sweeping
64_64_U1_4to2_HCA_Multgen_dc2,2.90,68804,sat-sweeping
64_64_U1_4to2_JCA_Multgen_dc2,3.11,69656,sat-sweeping
64_64_U1_4to2_KS_Multgen_dc2,3.21,71996,sat-sweeping
64_64_U1_4to2_LF_Multgen_dc2,3.32,69144,sat-sweeping
64_64_U1_4to2_RC_Multgen_dc2,2.75,65004,sat-sweeping
64_64_U1_DT_BK_Multgen_dc2,4.92,70596,sat-sweeping
64_64_U1_DT_HCA_Multgen_dc2,4.44,76192,sat-sweeping
64_64_U1_DT_JCA_Multgen_dc2,3.89,68760,sat-sweeping
64_64_U1_DT_KS_Multgen_dc2,4.84,74708,sat-sweeping
64_64_U1_DT_LF_Multgen_dc2,3.98,68804,sat-sweeping
64_64_U1_DT_RC_Multgen_dc2,2.94,25668,sat-sweeping
64_64_U1_WT_BK_Multgen_dc2,4.59,75276,sat-sweeping
64_64_U1_WT_HCA_Multgen_dc2,4.18,74828,sat-sweeping
64_64_U1_WT_JCA_Multgen_dc2,4.13,70020,sat-sweeping
64_64_U1_WT_KS_Multgen_dc2,4.13,70948,sat-sweeping
64_64_U1_WT_LF_Multgen_dc2,4.10,75040,sat-sweeping
64_64_U1_WT_RC_Multgen_dc2,6.74,74268,sat-sweeping
64_64_U2_4to2_BK_Multgen_dc2,3.67,90748,sat-sweeping
64_64_U2_4to2_HCA_Multgen_dc2,3.13,88476,sat-sweeping
64_64_U2_4to2_JCA_Multgen_dc2,3.30,89156,sat-sweeping
64_64_U2_4to2_KS_Multgen_dc2,3.27,89604,sat-sweeping
64_64_U2_4to2_LF_Multgen_dc2,3.54,88996,sat-sweeping
64_64_U2_4to2_RC_Multgen_dc2,3.43,87360,sat-sweeping
64_64_U2_DT_BK_Multgen_dc2,5.47,105548,sat-sweeping
64_64_U2_DT_HCA_Multgen_dc2,4.55,90560,sat-sweeping
64_64_U2_DT_JCA_Multgen_dc2,5.44,91712,sat-sweeping
64_64_U2_DT_KS_Multgen_dc2,5.32,94180,sat-sweeping
64_64_U2_DT_LF_Multgen_dc2,5.17,91828,sat-sweeping
64_64_U2_DT_RC_Multgen_dc2,3.37,29264,sat-sweeping
64_64_U2_WT_BK_Multgen_dc2,4.66,93860,sat-sweeping
64_64_U2_WT_HCA_Multgen_dc2,4.72,105704,sat-sweeping
64_64_U2_WT_JCA_Multgen_dc2,5.02,93872,sat-sweeping
64_64_U2_WT_KS_Multgen_dc2,5.50,96608,sat-sweeping
64_64_U2_WT_LF_Multgen_dc2,5.01,93632,sat-sweeping
64_64_U2_WT_RC_Multgen_dc2,8.10,107352,sat-sweeping
64_64_U_SP_AR_BK_GenMul_dc2,3.39,28392,kissat
64_64_U_SP_AR_CK_GenMul_dc2,2.91,27516,kissat
64_64_U_SP_AR_CL_GenMul_dc2,4.22,77468,sat-sweeping
64_64_U_SP_AR_KS_GenMul_dc2,2.98,26664,kissat
64_64_U_SP_AR_LF_GenMul_dc2,3.32,27464,kissat
64_64_U_SP_AR_RC_GenMul_dc2,3.06,25248,kissat
64_64_U_SP_AR_SE_GenMul_dc2,4.13,25620,kissat
64_64_U_SP_CWT_BK_GenMul_dc2,3.75,68480,sat-sweeping
64_64_U_SP_CWT_CK_GenMul_dc2,3.76,67984,sat-sweeping
64_64_U_SP_CWT_CL_GenMul_dc2,3.62,68104,sat-sweeping
64_64_U_SP_CWT_KS_GenMul_dc2,3.84,70564,sat-sweeping
64_64_U_SP_CWT_LF_GenMul_dc2,3.46,68936,sat-sweeping
64_64_U_SP_CWT_RC_GenMul_dc2,3.64,67544,sat-sweeping
64_64_U_SP_CWT_SE_GenMul_dc2,2.50,27076,sat-sweeping
64_64_U_SP_DT_BK_GenMul_dc2,2.39,25432,sat-sweeping
64_64_U_SP_DT_CK_GenMul_dc2,3.64,25320,sat-sweeping
64_64_U_SP_DT_CL_GenMul_dc2,9.41,78868,sat-sweeping
64_64_U_SP_DT_KS_GenMul_dc2,4.46,78976,sat-sweeping
64_64_U_SP_DT_LF_GenMul_dc2,4.44,69264,sat-sweeping
64_64_U_SP_DT_RC_GenMul_dc2,3.23,27476,sat-sweeping
64_64_U_SP_DT_SE_GenMul_dc2,2.05,24952,sat-sweeping
64_64_U_SP_WT_BK_GenMul_dc2,4.06,78004,sat-sweeping
64_64_U_SP_WT_CK_GenMul_dc2,3.80,71012,sat-sweeping
64_64_U_SP_WT_CL_GenMul_dc2,4.93,71224,sat-sweeping
64_64_U_SP_WT_KS_GenMul_dc2,3.98,71984,sat-sweeping
64_64_U_SP_WT_LF_GenMul_dc2,4.03,71020,sat-sweeping
64_64_U_SP_WT_RC_GenMul_dc2,3.24,70816,sat-sweeping
64_64_U_SP_WT_SE_GenMul_dc2,2.55,26432,sat-sweeping
