File Name,Time (seconds),Memory (KB),Method
64_64_U1_4to2_BK_Multgen_dc2,25.65,29304,kissat
64_64_U1_4to2_HCA_Multgen_dc2,19.06,30164,kissat
64_64_U1_4to2_JCA_Multgen_dc2,50.71,30984,kissat
64_64_U1_4to2_KS_Multgen_dc2,212.55,44856,sat-sweeping
64_64_U1_4to2_LF_Multgen_dc2,45.74,30644,kissat
64_64_U1_4to2_RC_Multgen_dc2,5.56,24712,kissat
64_64_U1_DT_BK_Multgen_dc2,12.48,27632,sat-sweeping
64_64_U1_DT_HCA_Multgen_dc2,12.12,32340,sat-sweeping
64_64_U1_DT_JCA_Multgen_dc2,15.10,27912,sat-sweeping
64_64_U1_DT_KS_Multgen_dc2,12.35,30752,sat-sweeping
64_64_U1_DT_LF_Multgen_dc2,14.37,27176,sat-sweeping
64_64_U1_WT_BK_Multgen_dc2,11.33,29548,sat-sweeping
64_64_U1_WT_HCA_Multgen_dc2,11.31,30620,sat-sweeping
64_64_U1_WT_JCA_Multgen_dc2,11.39,31784,sat-sweeping
64_64_U1_WT_KS_Multgen_dc2,10.87,29872,sat-sweeping
64_64_U1_WT_LF_Multgen_dc2,10.92,32144,sat-sweeping
64_64_U2_4to2_BK_Multgen_dc2,36.32,31308,kissat
64_64_U2_4to2_HCA_Multgen_dc2,25.14,43108,kissat
64_64_U2_4to2_JCA_Multgen_dc2,359.89,50132,kissat
64_64_U2_4to2_KS_Multgen_dc2,409.96,45996,kissat
64_64_U2_4to2_LF_Multgen_dc2,352.36,49928,kissat
64_64_U2_DT_BK_Multgen_dc2,19.12,29964,sat-sweeping
64_64_U2_DT_HCA_Multgen_dc2,12.18,47880,kissat
64_64_U2_DT_JCA_Multgen_dc2,26.98,29080,sat-sweeping
64_64_U2_DT_KS_Multgen_dc2,29.35,29840,sat-sweeping
64_64_U2_DT_LF_Multgen_dc2,25.98,59048,sat-sweeping
64_64_U2_WT_BK_Multgen_dc2,24.02,39716,sat-sweeping
64_64_U2_WT_HCA_Multgen_dc2,30.85,41216,sat-sweeping
64_64_U2_WT_JCA_Multgen_dc2,31.28,40440,sat-sweeping
64_64_U2_WT_KS_Multgen_dc2,27.62,49868,kissat
64_64_U2_WT_LF_Multgen_dc2,31.69,43428,sat-sweeping
64_64_U_SP_AR_CK_GenMul_dc2,3.02,26876,sat-sweeping
64_64_U_SP_AR_KS_GenMul_dc2,2.95,27364,sat-sweeping
64_64_U_SP_AR_RC_GenMul_dc2,3.06,25872,sat-sweeping
64_64_U_SP_CWT_CK_GenMul_dc2,10.90,29232,sat-sweeping
64_64_U_SP_CWT_RC_GenMul_dc2,10.70,29996,sat-sweeping
64_64_U_SP_DT_BK_GenMul_dc2,2.39,25608,kissat
64_64_U_SP_DT_CK_GenMul_dc2,3.39,25452,kissat
64_64_U_SP_DT_RC_GenMul_dc2,3.22,25256,kissat
64_64_U_SP_WT_CK_GenMul_dc2,11.44,28404,sat-sweeping
64_64_U_SP_WT_RC_GenMul_dc2,10.73,28496,sat-sweeping
64_64_U1_DT_RC_Multgen_dc2,2.94,25568,kissat
64_64_U1_WT_RC_Multgen_dc2,14.29,30664,sat-sweeping
64_64_U2_4to2_RC_Multgen_dc2,4.31,26884,kissat
64_64_U2_DT_RC_Multgen_dc2,3.39,27056,kissat
64_64_U2_WT_RC_Multgen_dc2,9.93,43928,kissat
64_64_U_SP_AR_BK_GenMul_dc2,3.39,27024,sat-sweeping
64_64_U_SP_AR_CL_GenMul_dc2,4.41,28864,sat-sweeping
64_64_U_SP_AR_LF_GenMul_dc2,3.08,27860,sat-sweeping
64_64_U_SP_AR_SE_GenMul_dc2,4.00,26460,sat-sweeping
64_64_U_SP_CWT_BK_GenMul_dc2,15.54,28388,sat-sweeping
64_64_U_SP_CWT_CL_GenMul_dc2,18.41,42268,kissat
64_64_U_SP_CWT_KS_GenMul_dc2,16.37,28864,sat-sweeping
64_64_U_SP_CWT_LF_GenMul_dc2,12.88,29108,sat-sweeping
64_64_U_SP_CWT_SE_GenMul_dc2,2.48,25264,kissat
64_64_U_SP_DT_CL_GenMul_dc2,15.85,29428,sat-sweeping
64_64_U_SP_DT_KS_GenMul_dc2,14.27,28716,sat-sweeping
64_64_U_SP_DT_LF_GenMul_dc2,10.05,25944,sat-sweeping
64_64_U_SP_DT_SE_GenMul_dc2,2.09,24916,kissat
64_64_U_SP_WT_BK_GenMul_dc2,13.91,30732,sat-sweeping
64_64_U_SP_WT_CL_GenMul_dc2,15.19,30396,sat-sweeping
64_64_U_SP_WT_KS_GenMul_dc2,13.93,29900,sat-sweeping
64_64_U_SP_WT_LF_GenMul_dc2,13.88,30072,sat-sweeping
64_64_U_SP_WT_SE_GenMul_dc2,2.51,26044,kissat
