File Name,Time (seconds),Memory (KB),Method
128_128_U1_4to2_BK_Multgen_resyn3,5.04,192184,sat-sweeping
128_128_U1_4to2_HCA_Multgen_resyn3,5.96,195584,sat-sweeping
128_128_U1_4to2_JCA_Multgen_resyn3,6.09,194340,sat-sweeping
128_128_U1_4to2_KS_Multgen_resyn3,7.34,200444,sat-sweeping
128_128_U1_4to2_LF_Multgen_resyn3,5.58,194128,sat-sweeping
128_128_U1_4to2_RC_Multgen_resyn3,4.60,48620,sat-sweeping
128_128_U1_DT_BK_Multgen_resyn3,11.62,264980,sat-sweeping
128_128_U1_DT_HCA_Multgen_resyn3,14.03,270356,sat-sweeping
128_128_U1_DT_JCA_Multgen_resyn3,13.48,269228,sat-sweeping
128_128_U1_DT_KS_Multgen_resyn3,16.64,269336,sat-sweeping
128_128_U1_DT_LF_Multgen_resyn3,12.86,268812,sat-sweeping
128_128_U1_DT_RC_Multgen_resyn3,11.26,267056,sat-sweeping
128_128_U1_WT_BK_Multgen_resyn3,14.16,271880,sat-sweeping
128_128_U1_WT_HCA_Multgen_resyn3,5.95,69768,sat-sweeping
128_128_U1_WT_JCA_Multgen_resyn3,12.07,273180,sat-sweeping
128_128_U1_WT_KS_Multgen_resyn3,16.08,277580,sat-sweeping
128_128_U1_WT_LF_Multgen_resyn3,11.73,273100,sat-sweeping
128_128_U1_WT_RC_Multgen_resyn3,23.45,271736,sat-sweeping
128_128_U2_4to2_BK_Multgen_resyn3,6.38,249120,sat-sweeping
128_128_U2_4to2_HCA_Multgen_resyn3,7.27,249960,sat-sweeping
128_128_U2_4to2_JCA_Multgen_resyn3,6.74,253340,sat-sweeping
128_128_U2_4to2_KS_Multgen_resyn3,8.24,255592,sat-sweeping
128_128_U2_4to2_LF_Multgen_resyn3,6.61,253352,sat-sweeping
128_128_U2_4to2_RC_Multgen_resyn3,5.50,248688,sat-sweeping
128_128_U2_DT_BK_Multgen_resyn3,13.59,314076,sat-sweeping
128_128_U2_DT_HCA_Multgen_resyn3,14.55,314288,sat-sweeping
128_128_U2_DT_JCA_Multgen_resyn3,13.22,316792,sat-sweeping
128_128_U2_DT_KS_Multgen_resyn3,12.94,316704,sat-sweeping
128_128_U2_DT_LF_Multgen_resyn3,12.77,316092,sat-sweeping
128_128_U2_DT_RC_Multgen_resyn3,11.36,315188,sat-sweeping
128_128_U2_WT_BK_Multgen_resyn3,13.58,317028,sat-sweeping
128_128_U2_WT_HCA_Multgen_resyn3,13.02,318968,sat-sweeping
128_128_U2_WT_JCA_Multgen_resyn3,14.99,316980,sat-sweeping
128_128_U2_WT_KS_Multgen_resyn3,16.67,318028,sat-sweeping
128_128_U2_WT_LF_Multgen_resyn3,15.36,317476,sat-sweeping
128_128_U2_WT_RC_Multgen_resyn3,25.34,319132,sat-sweeping
128_128_U_SP_AR_BK_GenMul_resyn3,41.63,75996,sat-sweeping
128_128_U_SP_AR_CK_GenMul_resyn3,42.70,80916,sat-sweeping
128_128_U_SP_AR_CL_GenMul_resyn3,473.29,335540,sat-sweeping
128_128_U_SP_AR_KS_GenMul_resyn3,93.82,315960,sat-sweeping
128_128_U_SP_AR_LF_GenMul_resyn3,145.46,316976,sat-sweeping
128_128_U_SP_AR_RC_GenMul_resyn3,40.10,74272,sat-sweeping
128_128_U_SP_AR_SE_GenMul_resyn3,63.37,72452,sat-sweeping
128_128_U_SP_CWT_BK_GenMul_resyn3,20.92,257928,sat-sweeping
128_128_U_SP_CWT_CK_GenMul_resyn3,18.19,258104,sat-sweeping
128_128_U_SP_CWT_CL_GenMul_resyn3,1444.25,437696,sat-sweeping
128_128_U_SP_CWT_KS_GenMul_resyn3,34.83,263368,sat-sweeping
128_128_U_SP_CWT_LF_GenMul_resyn3,34.16,258740,sat-sweeping
128_128_U_SP_CWT_RC_GenMul_resyn3,26.48,257024,sat-sweeping
128_128_U_SP_CWT_SE_GenMul_resyn3,14.91,63636,sat-sweeping
128_128_U_SP_DT_BK_GenMul_resyn3,23.20,268556,sat-sweeping
128_128_U_SP_DT_CK_GenMul_resyn3,26.63,267236,sat-sweeping
128_128_U_SP_DT_CL_GenMul_resyn3,279.21,405804,sat-sweeping
128_128_U_SP_DT_KS_GenMul_resyn3,46.15,270848,sat-sweeping
128_128_U_SP_DT_LF_GenMul_resyn3,32.14,270044,sat-sweeping
128_128_U_SP_DT_RC_GenMul_resyn3,24.62,266920,sat-sweeping
128_128_U_SP_DT_SE_GenMul_resyn3,20.35,54772,sat-sweeping
128_128_U_SP_WT_BK_GenMul_resyn3,11.78,68060,sat-sweeping
128_128_U_SP_WT_CK_GenMul_resyn3,28.58,273520,sat-sweeping
128_128_U_SP_WT_CL_GenMul_resyn3,1452.11,430644,sat-sweeping
128_128_U_SP_WT_KS_GenMul_resyn3,18.29,278796,sat-sweeping
128_128_U_SP_WT_LF_GenMul_resyn3,17.52,278232,sat-sweeping
128_128_U_SP_WT_RC_GenMul_resyn3,17.75,271584,sat-sweeping
128_128_U_SP_WT_SE_GenMul_resyn3,9.64,66056,sat-sweeping
